City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
210,petropavlovsk-kamchatsky,53.0452,158.6483,-9.19,86,75,5.0,RU,1701211143
211,daru,-9.0763,143.2092,30.07,67,99,1.18,PG,1701211143
212,howard springs,-12.497,131.047,31.04,92,54,2.77,AU,1701211143
213,zawadzkie,50.605,18.4847,-2.84,89,100,3.74,PL,1701211143
214,manokwari,-0.8667,134.0833,27.04,75,100,0.64,ID,1701211143
215,epernay,49.05,3.95,4.53,89,81,2.65,FR,1701211144
216,wailua homesteads,22.0669,-159.378,21.44,88,100,5.14,US,1701211144
217,nagqu,31.5,92.0,-5.23,61,100,0.39,CN,1701211144
218,nova xavantina,-14.6667,-52.35,29.25,45,48,1.83,BR,1701211144
219,minas de marcona,-15.2119,-75.1103,15.87,77,12,7.13,PE,1701211145
220,manicore,-5.8092,-61.3003,24.42,86,84,0.62,BR,1701211145
221,coahuayana de hidalgo,18.7,-103.6583,28.86,64,100,1.3,MX,1701211145
222,margaret river,-33.95,115.0667,17.39,78,1,0.53,AU,1701211145
223,tidjikja,18.5564,-11.4271,21.53,16,85,4.17,MR,1701211146
224,turkmenbasy,40.0222,52.9552,3.43,87,0,0.0,TM,1701211146
225,enewetak,11.3474,162.3373,27.79,72,68,10.12,MH,1701211146
226,springbok,-29.6643,17.8865,12.8,69,53,2.55,ZA,1701211146
227,praia da vitoria,38.7333,-27.0667,19.31,100,75,5.27,PT,1701211146
228,westport,41.1415,-73.3579,1.63,48,0,9.77,US,1701211059
229,ghadamis,30.1337,9.5007,15.28,33,96,3.04,LY,1701211147
230,kharp,66.8014,65.8081,-8.65,93,100,3.9,RU,1701211147
231,keflavik,64.0049,-22.5624,1.95,93,75,4.12,IS,1701211147
232,uyuni,-20.4597,-66.825,17.99,12,1,2.28,BO,1701211148
233,flying fish cove,-10.4217,105.6791,26.07,65,97,7.41,CX,1701211148
234,heroica caborca,30.7167,-112.15,22.73,36,28,3.76,MX,1701211148
235,natal,-5.795,-35.2094,26.12,83,40,3.09,BR,1701211149
236,nadi,-17.8,177.4167,30.0,74,20,6.17,FJ,1701211019
237,nizhniy odes,63.6445,54.856,-11.33,93,82,2.67,RU,1701211149
238,bonthe,7.5264,-12.505,26.91,80,100,1.53,SL,1701211149
239,inari,68.906,27.0288,-1.89,97,95,4.86,FI,1701211149
240,vadso,70.0744,29.7487,1.09,69,75,9.26,NO,1701211150
241,georgetown,5.4112,100.3354,26.68,87,20,1.03,MY,1701211150
242,tromso,69.6496,18.957,-0.99,64,0,4.12,NO,1701211150
243,berezna,51.5716,31.7846,-1.6,97,100,7.67,UA,1701211150
244,saudarkrokur,65.7461,-19.6394,1.88,91,95,1.71,IS,1701211091
245,mahina,-17.5065,-149.489,29.87,70,75,4.12,PF,1701211151
246,kununurra,-15.7667,128.7333,28.99,79,41,3.09,AU,1701210987
247,whitestown,39.9973,-86.3458,-4.12,64,0,2.57,US,1701211151
248,lospalos,-8.5186,127.0025,27.25,64,51,1.33,TL,1701211151
249,palikir - national government center,6.9248,158.1611,25.47,94,100,3.6,FM,1701211152
250,chumphon,10.3333,98.8333,20.64,96,98,1.18,TH,1701211152
251,fortuna,40.5982,-124.1573,18.51,39,20,4.63,US,1701211152
252,leshan,29.5623,103.7639,15.31,77,100,1.19,CN,1701211152
253,labuan,5.2767,115.2417,26.2,89,20,1.03,MY,1701211153
254,banamba,13.55,-7.45,25.04,19,0,3.72,ML,1701211153
255,nogliki,51.8333,143.1667,-14.81,79,100,4.02,RU,1701211046
256,merizo village,13.2658,144.6691,28.88,85,36,9.17,GU,1701211153
257,al ghayzah,16.2079,52.176,24.75,70,72,1.14,YE,1701211154
258,carutapera,-1.195,-46.02,26.39,81,34,3.59,BR,1701211154
259,khabary,53.6259,79.5345,-2.82,69,100,4.93,RU,1701211154
260,chinde,26.8418,88.0763,12.28,63,98,2.11,NP,1701211154
